Month,Year,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
1.0,2018,01/17/2018  5:10 AM,01/17/2018  1:00 PM,"7 Hours, 50 Minutes",Cooperative Energy,SERC,Mississippi:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,1788,420000
1.0,2018,01/17/2018  6:10 AM,01/17/2018  2:00 PM,"7 Hours, 50 Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,Unknown,Unknown
1.0,2018,01/18/2018  5:00 AM,01/18/2018  9:45 AM,"4 Hours, 45 Minutes",Cooperative Energy,SERC,Mississippi:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,1760,420000
1.0,2018,01/18/2018  5:00 AM,01/18/2018 11:00 AM,"6 Hours,  0 Minutes","Entergy Services, Inc.",SERC,Arkansas: Mississippi: Louisiana: Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,31500,Unknown
1.0,2018,01/18/2018  6:00 AM,.        .,". Hours,  . Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,Unknown,Unknown
2.0,2018,02/08/2018  1:25 PM,02/08/2018  1:31 PM,"0 Hours,  6 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System Operations,30,10900
3.0,2018,03/01/2018 11:43 AM,03/01/2018 11:56 AM,"0 Hours, 13 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,38,10898
3.0,2018,03/01/2018  9:57 PM,03/02/2018 10:14 AM,"12 Hours, 17 Minutes",The Illuminating Company,RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,86501
3.0,2018,03/01/2018 10:20 PM,03/04/2018  8:00 PM,"69 Hours, 40 Minutes",Detroit Edison Co,RF,"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,95000
3.0,2018,03/02/2018  7:00 AM,.        .,". Hours,  . Minutes",Central Hudson Gas & Elec Corp,NPCC,"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,90000
3.0,2018,03/02/2018  8:00 AM,03/03/2018 11:00 PM,"39 Hours,  0 Minutes","American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,65198
3.0,2018,03/02/2018  8:42 AM,.        .,". Hours,  . Minutes",Niagara Mohawk Power Corporation (dba National Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,63331
3.0,2018,03/02/2018 11:34 AM,.        .,". Hours,  . Minutes",New York State Electric & Gas,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,50000
3.0,2018,03/02/2018 11:58 AM,.        .,". Hours,  . Minutes",PPL Electric Utilities Corp,RF,"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,Unknown,126000
3.0,2018,03/02/2018 12:00 PM,.        .,". Hours,  . Minutes",Baltimore Gas and Electric,RF,Maryland:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,670,474019
3.0,2018,03/02/2018 12:00 PM,03/05/2018 12:00 AM,"60 Hours,  0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,630000
3.0,2018,03/02/2018  1:51 PM,03/04/2018 12:11 PM,"46 Hours, 20 Minutes",Metropolitan Edison Co,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,233136
3.0,2018,03/02/2018  1:51 PM,03/05/2018  1:18 PM,"71 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,325000
3.0,2018,03/02/2018  3:10 PM,03/06/2018  4:57 AM,"85 Hours, 47 Minutes",Jersey Central Power & Lt Co,RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,249322
3.0,2018,03/02/2018  3:46 PM,03/04/2018  7:46 PM,"52 Hours,  0 Minutes",Consolidated Edison Co-NY Inc,NPCC,"New York: New York County, Westchester County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,72353
3.0,2018,03/02/2018  5:00 PM,03/06/2018 11:00 AM,"90 Hours,  0 Minutes",Delmarva Power & Light Company,RF,Delaware: Maryland:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,60000
3.0,2018,03/07/2018 12:00 PM,03/07/2018  5:00 PM,"5 Hours,  0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,120000
3.0,2018,03/07/2018  4:10 PM,03/10/2018 11:32 AM,"67 Hours, 22 Minutes",Jersey Central Power & Lt Co,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,216800
3.0,2018,03/07/2018  5:15 PM,.        .,". Hours,  . Minutes",Public Service Electric & Gas,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",50,58000
3.0,2018,03/07/2018  7:37 PM,03/10/2018  4:35 PM,"68 Hours, 58 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,102000
3.0,2018,03/13/2018  8:50 AM,03/14/2018 11:22 PM,"38 Hours, 32 Minutes",ISO New England,NPCC,Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,123629
3.0,2018,03/19/2018 11:29 PM,03/20/2018  3:37 AM,"4 Hours,  8 Minutes",Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",261,78220
3.0,2018,03/20/2018  7:00 PM,03/25/2018  6:30 AM,"107 Hours, 30 Minutes",Atlantic City Electric Co,RF,"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",80,124000
3.0,2018,03/24/2018 10:30 PM,03/26/2018  8:00 PM,"45 Hours, 30 Minutes","American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,81227
4.0,2018,04/04/2018  4:42 PM,04/07/2018  6:22 AM,"61 Hours, 40 Minutes",Niagara Mohawk Power Corporation (dba National Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,72896
4.0,2018,04/05/2018 12:50 AM,04/05/2018  4:00 PM,"15 Hours, 10 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,65932
4.0,2018,04/09/2018 11:16 AM,.        .,". Hours,  . Minutes",Peak Reliability,WECC,Utah:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,300,250000
4.0,2018,04/09/2018 12:16 PM,04/09/2018  1:52 PM,"1 Hours, 36 Minutes",Pacificorp,WECC,Utah: Salt Lake County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,806,57000
4.0,2018,04/14/2018  9:30 AM,04/14/2018 10:00 AM,"0 Hours, 30 Minutes",Entergy Corp,SERC,Louisiana: Arkansas: Mississippi: Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,56350
4.0,2018,04/15/2018  7:30 AM,04/18/2018  7:30 AM,"72 Hours,  0 Minutes",DTE Energy,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,389591
4.0,2018,04/15/2018  5:14 PM,04/15/2018 11:25 PM,"6 Hours, 11 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,78100
5.0,2018,05/04/2018 12:00 PM,05/06/2018  1:00 PM,"49 Hours,  0 Minutes",DTE Energy,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,300000
5.0,2018,05/04/2018  2:00 PM,05/05/2018  9:30 AM,"19 Hours, 30 Minutes",Consumers Energy Co,RF,"Michigan: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,90000
5.0,2018,05/04/2018  8:10 PM,.        .,". Hours,  . Minutes",Niagara Mohawk Power Corporation (dba National Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,106150
5.0,2018,05/04/2018 11:10 PM,05/05/2018 12:40 AM,"1 Hours, 30 Minutes",ISO New England,NPCC,New Hampshire: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,56000
5.0,2018,05/05/2018  4:30 AM,05/05/2018  3:30 PM,"11 Hours,  0 Minutes",ISO New England,NPCC,Vermont: New Hampshire: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,31900
5.0,2018,05/14/2018  7:08 PM,.        .,". Hours,  . Minutes",Dominion Energy VA,SERC,Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,112000
5.0,2018,05/15/2018  2:50 PM,.        .,". Hours,  . Minutes",PPL Electric Utilities Corp,RF,"Pennsylvania: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,114000
5.0,2018,05/15/2018  4:00 PM,.        .,". Hours,  . Minutes",Central Hudson Gas & Electric,NPCC,"New York: Dutchess County, Ulster County, Orange County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,72000
5.0,2018,05/15/2018  5:15 PM,.        .,". Hours,  . Minutes",New York State Electric & Gas,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,49999
5.0,2018,05/15/2018  5:25 PM,.        .,". Hours,  . Minutes",Jersey Central Power & Lt Co,RF,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,82372
5.0,2018,05/15/2018  6:14 PM,05/15/2018  7:00 PM,"0 Hours, 46 Minutes",Metropolitan Edison Co,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,52872
5.0,2018,05/15/2018  6:35 PM,05/18/2018  3:57 PM,"69 Hours, 22 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,120000
5.0,2018,05/17/2018  1:11 AM,.        .,". Hours,  . Minutes",Peak Reliability,WECC,California: Contra Costa County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",70,70000
5.0,2018,05/17/2018  1:11 AM,05/18/2018 12:38 AM,"23 Hours, 27 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Transmission Disruption",124,70000
5.0,2018,05/26/2018  6:40 PM,05/27/2018 11:50 PM,"29 Hours, 10 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,163932
6.0,2018,06/02/2018  5:00 AM,06/02/2018 11:00 AM,"6 Hours,  0 Minutes",Kansas City Power & Light Co.,SPP RE,"Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,103535
6.0,2018,06/18/2018  6:20 PM,06/19/2018 12:15 AM,"5 Hours, 55 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,112927
6.0,2018,06/20/2018 10:58 PM,06/21/2018  6:05 AM,"7 Hours,  7 Minutes",Lake Worth Utilities,FRCC,Florida: Palm Beach County;,Complete operational failure or shut-down of the transmission and/or distribution of electrical system-Transmission Interruption,73,27000
6.0,2018,06/22/2018  2:38 PM,.        .,". Hours,  . Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Severe Weather,10000,4200000
6.0,2018,06/28/2018  2:50 PM,06/29/2018  9:00 AM,"18 Hours, 10 Minutes",Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",160,48109
6.0,2018,06/28/2018  6:36 PM,07/01/2018  7:00 AM,"60 Hours, 24 Minutes",Ameren Missouri,SERC,Missouri: Illinois:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,112000
6.0,2018,06/29/2018  7:35 AM,06/29/2018  9:30 AM,"1 Hours, 55 Minutes",Minnesota Power,MRO,Minnesota: St. Louis County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident-Severe Weather,350,Unknown
7.0,2018,07/11/2018 12:58 AM,.        .,". Hours,  . Minutes",California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
7.0,2018,07/11/2018  3:40 PM,07/11/2018  4:00 PM,"0 Hours, 20 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident-Transmission Interruption,425,26195
7.0,2018,07/16/2018  5:15 AM,.        .,". Hours,  . Minutes",California Department of Water Resources,WECC,California: Merced County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
7.0,2018,07/18/2018  4:00 AM,.        .,". Hours,  . Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
7.0,2018,07/18/2018  5:28 PM,07/18/2018  5:31 PM,"0 Hours,  3 Minutes",Bonneville Power Administration,WECC,Oregon:,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.-Severe Weather/Transmission Interruption",Unknown,Unknown
7.0,2018,07/20/2018  4:19 PM,07/20/2018  4:48 PM,"0 Hours, 29 Minutes",Tennessee Valley Authority,SERC,Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,87833
7.0,2018,07/21/2018  4:45 AM,07/21/2018 11:15 AM,"6 Hours, 30 Minutes",Entergy Corp,SERC,Arkansas:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,64930
7.0,2018,07/21/2018  7:20 AM,07/21/2018 11:30 AM,"4 Hours, 10 Minutes",Southern Company,SERC,Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",143,42901
7.0,2018,07/23/2018  4:16 AM,07/23/2018  4:29 AM,"0 Hours, 13 Minutes",Duke Energy Florida,FRCC,Florida: Pinellas County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",40,Unknown
7.0,2018,07/26/2018  8:24 PM,.        .,". Hours,  . Minutes",Redding Electric Utility,WECC,California: Shasta County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System-Natural Disaster,Unknown,Unknown
7.0,2018,07/27/2018  9:34 AM,07/27/2018  9:51 AM,"0 Hours, 17 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-System Operations,Unknown,Unknown
7.0,2018,07/27/2018  4:28 PM,07/27/2018  4:33 PM,"0 Hours,  5 Minutes",Consolidated Edison Co-NY Inc,NPCC,New York: New York County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",0,0
7.0,2018,07/29/2018  2:33 PM,07/29/2018  6:23 PM,"3 Hours, 50 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Natural Disaster",83,57670
7.0,2018,07/30/2018  6:30 AM,07/30/2018 11:00 PM,"16 Hours, 30 Minutes",Arizona Public Service Co,WECC,Arizona: Maricopa County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,82000
8.0,2018,08/07/2018  1:22 AM,08/07/2018  1:59 AM,"0 Hours, 37 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Natural Disaster,5,485
8.0,2018,08/07/2018  1:22 AM,08/07/2018  7:04 PM,"17 Hours, 42 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Natural Disaster,27,11383
8.0,2018,08/26/2018 10:00 PM,08/27/2018  4:56 AM,"6 Hours, 56 Minutes",Consumers Energy Co,RF,"Michigan: Muskegon County, Newaygo County, Oceana County, Mason County, Kent County, Mecosta County, Montcalm County, Isabella County, Midland County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,67000
8.0,2018,08/28/2018  8:00 PM,08/30/2018  2:59 PM,"42 Hours, 59 Minutes",Consumers Energy Co,RF,"Michigan: Benzie County, Barry County, Grand Traverse County, Kalkaska County, Mason County, Oceana County, Muskegon County, Kent County, Newaygo County, Montcalm County, Mecosta County, Antrim County, Eaton County, Ionia County, Isabella County, Clare County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,110000
8.0,2018,08/29/2018 12:00 AM,08/30/2018 12:00 AM,"24 Hours,  0 Minutes",ComEd,SERC,Illinois:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,100000
8.0,2018,08/31/2018  3:07 PM,08/31/2018  3:31 PM,"0 Hours, 24 Minutes",Pacificorp,WECC,Oregon:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Natural Disaster/Transmission Interruption",96,50000
9.0,2018,09/06/2018  2:26 AM,09/06/2018  2:27 AM,"0 Hours,  1 Minutes",Tampa Electric Co,FRCC,Florida: Hillsborough County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0
9.0,2018,09/13/2018  8:30 PM,09/19/2018  5:00 PM,"140 Hours, 30 Minutes",North Carolina El Member Corp,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",300,325000
9.0,2018,09/13/2018  8:56 PM,09/20/2018  7:00 PM,"166 Hours,  4 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,1457583
9.0,2018,09/15/2018  1:05 AM,09/17/2018  4:00 PM,"62 Hours, 55 Minutes",South Carolina Pub Serv Auth,SERC,"South Carolina: Horry County, Chesterfield County, Dillon County, Georgetown County, Marlboro County, Darlington County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,50100
9.0,2018,09/15/2018  3:00 PM,09/15/2018  6:00 PM,"3 Hours,  0 Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.-System Operations,Unknown,Unknown
9.0,2018,09/15/2018  3:00 PM,09/15/2018  6:00 PM,"3 Hours,  0 Minutes",Cooperative Energy,SERC,Mississippi: Forrest County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.-System Operations,1322,420000
9.0,2018,09/16/2018  8:00 AM,09/18/2018  7:40 PM,"59 Hours, 40 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,50000
9.0,2018,09/22/2018  3:23 PM,09/22/2018 11:00 PM,"7 Hours, 37 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Natural Disaster",3507,2500
9.0,2018,09/26/2018  1:54 PM,09/26/2018  5:58 PM,"4 Hours,  4 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0
10.0,2018,10/10/2018 11:59 AM,.        .,". Hours,  . Minutes",Southern Company,FRCC,Florida: Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",152,45604
10.0,2018,10/10/2018  2:00 PM,10/11/2018  6:00 AM,"16 Hours,  0 Minutes",Seminole Electric Cooperative Inc.,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",135,60717
10.0,2018,10/10/2018  4:00 PM,10/19/2018  6:00 AM,"206 Hours,  0 Minutes",City of Tallahassee,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",330,55000
10.0,2018,10/11/2018  7:21 AM,10/11/2018  3:00 PM,"7 Hours, 39 Minutes",South Carolina Electric and Gas,SERC,South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,71654
10.0,2018,10/11/2018  1:15 PM,.        .,". Hours,  . Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,240807
10.0,2018,10/11/2018  4:42 PM,10/12/2018  9:00 PM,"28 Hours, 18 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,170222
10.0,2018,10/11/2018  6:55 PM,10/12/2018 12:00 PM,"17 Hours,  5 Minutes",North Carolina El Member Corp,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,117000
10.0,2018,10/12/2018  3:36 AM,10/12/2018  1:56 PM,"10 Hours, 20 Minutes",PJM Interconnection,RF,Maryland: Garrett County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0
10.0,2018,10/14/2018 10:11 PM,.        .,". Hours,  . Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Natural Disaster",Unknown,60000
10.0,2018,10/16/2018  4:15 AM,10/16/2018  5:11 PM,"12 Hours, 56 Minutes",ISO New England,NPCC,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,18000
10.0,2018,10/21/2018 12:16 AM,10/21/2018  4:14 PM,"15 Hours, 58 Minutes",American Electric Power,RF,West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,63408
